obj,rel,sbj,GT_1,GT_2,GT_3,GT_4,GT_5,GT_6,GT_7,GT_8,GT_9,GT_10,GT_11,GT_12,GT_13,GT_14,GT_15,GT_16,GT_17,GT_18,GT_19,GT_20,GT_21,GT_22,GT_23,GT_24,GT_25,GT_26,GT_27,GT_28,GT_29,GT_30,GT_31,GT_32,GT_33,GT_34,GT_35,GT_36,GT_37,GT_38,GT_39,GT_40,GT_41,GT_42,GT_43,GT_44,GT_45,GT_46,GT_47,GT_48,GT_49,GT_50,GT_51,GT_52,GT_53,GT_54,GT_55,GT_56,GT_57,GT_58,GT_59,GT_60,GT_61,GT_62,GT_63,GT_64,GT_65,GT_66,GT_67,GT_68,GT_69,GT_70,GT_71,GT_72,GT_73,GT_74,GT_75,GT_76,GT_77,GT_78,GT_79,GT_80,GT_81,GT_82,GT_83,GT_84,GT_85,GT_86,GT_87,GT_88,GT_89,GT_90,GT_91,GT_92,GT_93,GT_94,GT_95,GT_96,GT_97,GT_98,GT_99,GT_100,GT_101,GT_102,GT_103,GT_104,GT_105,GT_106,GT_107,GT_108,GT_109,GT_110,GT_111,GT_112,GT_113,GT_114,GT_115,GT_116,GT_117,GT_118,GT_119,GT_120,GT_121,GT_122,GT_123,GT_124,GT_125,GT_126,GT_127,GT_128,GT_129,GT_130,GT_131,GT_132,GT_133,GT_134,GT_135,GT_136,GT_137,GT_138,GT_139,GT_140,GT_141,GT_142,GT_143,GT_144,GT_145,GT_146,GT_147,GT_148,GT_149,GT_150,GT_151,GT_152,GT_153,GT_154,GT_155,GT_156,GT_157,GT_158,GT_159,GT_160,GT_161,GT_162,GT_163,GT_164,GT_165,GT_166,GT_167,GT_168,GT_169,GT_170,GT_171,GT_172,GT_173,GT_174,GT_175,GT_176,GT_177,GT_178,GT_179,GT_180,GT_181,GT_182,GT_183,GT_184,GT_185,GT_186,GT_187,GT_188,GT_189,GT_190,GT_191,GT_192,GT_193,GT_194,GT_195,GT_196,GT_197,GT_198,GT_199,GT_200,GT_201,GT_202,GT_203,GT_204,GT_205,GT_206,GT_207,GT_208,GT_209,GT_210,GT_211,GT_212,GT_213,GT_214,GT_215,GT_216,GT_217,GT_218,GT_219,GT_220,GT_221,GT_222,GT_223,GT_224,GT_225,GT_226,GT_227,GT_228,GT_229,GT_230,GT_231,GT_232,GT_233,GT_234,GT_235,GT_236,GT_237,GT_238,GT_239,GT_240,GT_241,GT_242,GT_243,GT_244,GT_245,GT_246,GT_247,GT_248,GT_249,GT_250,GT_251,GT_252,GT_253,GT_254,GT_255,GT_256,GT_257,GT_258,GT_259,GT_260,GT_261,GT_262,GT_263,GT_264,GT_265,GT_266,GT_267,GT_268,GT_269,GT_270,GT_271,GT_272,GT_273,GT_274,GT_275,GT_276,GT_277,GT_278,GT_279,GT_280,GT_281,GT_282,GT_283,GT_284,GT_285,GT_286,GT_287,GT_288,GT_289,GT_290,GT_291,GT_292,GT_293,GT_294
0,0,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,662,35.0,0.0,662.0,314.0,0.0,692.0,468.0,0.0,692.0,662.0,2.0,692.0,1.0,3.0,35.0,1.0,3.0,314.0,1.0,3.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,663,86.0,0.0,663.0,87.0,0.0,663.0,434.0,0.0,663.0,319.0,0.0,690.0,663.0,2.0,690.0,6.0,3.0,86.0,6.0,3.0,87.0,6.0,3.0,319.0,6.0,3.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,663,20.0,0.0,663.0,25.0,0.0,663.0,26.0,0.0,663.0,28.0,0.0,663.0,31.0,0.0,663.0,44.0,0.0,663.0,58.0,0.0,663.0,580.0,0.0,665.0,31.0,0.0,669.0,600.0,0.0,669.0,116.0,0.0,672.0,596.0,0.0,672.0,113.0,0.0,673.0,116.0,0.0,673.0,596.0,0.0,673.0,292.0,0.0,690.0,301.0,0.0,690.0,451.0,0.0,690.0,270.0,0.0,694.0,273.0,0.0,694.0,663.0,2.0,665.0,663.0,2.0,669.0,663.0,2.0,672.0,663.0,2.0,673.0,663.0,2.0,690.0,663.0,2.0,694.0,9.0,3.0,20.0,9.0,3.0,25.0,9.0,3.0,26.0,9.0,3.0,28.0,9.0,3.0,31.0,9.0,3.0,44.0,9.0,3.0,58.0,9.0,3.0,113.0,9.0,3.0,116.0,9.0,3.0,270.0,9.0,3.0,273.0,9.0,3.0,292.0,9.0,3.0,301.0,9.0,3.0,451.0,9.0,3.0,580.0,9.0,3.0,596.0,9.0,3.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,663,11.0,0.0,663.0,39.0,0.0,663.0,60.0,0.0,663.0,61.0,0.0,663.0,62.0,0.0,663.0,65.0,0.0,663.0,74.0,0.0,663.0,369.0,0.0,663.0,393.0,0.0,663.0,421.0,0.0,663.0,115.0,0.0,673.0,119.0,0.0,673.0,135.0,0.0,673.0,597.0,0.0,673.0,598.0,0.0,673.0,253.0,0.0,690.0,288.0,0.0,690.0,291.0,0.0,690.0,457.0,0.0,690.0,469.0,0.0,690.0,247.0,0.0,692.0,253.0,0.0,692.0,457.0,0.0,692.0,469.0,0.0,692.0,542.0,0.0,702.0,657.0,0.0,705.0,357.0,0.0,798.0,362.0,0.0,798.0,663.0,2.0,673.0,663.0,2.0,690.0,663.0,2.0,692.0,663.0,2.0,702.0,663.0,2.0,705.0,663.0,2.0,798.0,10.0,3.0,11.0,10.0,3.0,39.0,10.0,3.0,60.0,10.0,3.0,61.0,10.0,3.0,62.0,10.0,3.0,65.0,10.0,3.0,74.0,10.0,3.0,115.0,10.0,3.0,119.0,10.0,3.0,135.0,10.0,3.0,247.0,10.0,3.0,253.0,10.0,3.0,288.0,10.0,3.0,291.0,10.0,3.0,357.0,10.0,3.0,362.0,10.0,3.0,369.0,10.0,3.0,393.0,10.0,3.0,421.0,10.0,3.0,457.0,10.0,3.0,469.0,10.0,3.0,542.0,10.0,3.0,597.0,10.0,3.0,598.0,10.0,3.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,663,39.0,0.0,663.0,60.0,0.0,663.0,61.0,0.0,663.0,62.0,0.0,663.0,65.0,0.0,663.0,74.0,0.0,663.0,369.0,0.0,663.0,393.0,0.0,663.0,421.0,0.0,663.0,10.0,0.0,663.0,115.0,0.0,673.0,119.0,0.0,673.0,135.0,0.0,673.0,597.0,0.0,673.0,598.0,0.0,673.0,253.0,0.0,690.0,288.0,0.0,690.0,291.0,0.0,690.0,457.0,0.0,690.0,469.0,0.0,690.0,247.0,0.0,692.0,253.0,0.0,692.0,457.0,0.0,692.0,469.0,0.0,692.0,542.0,0.0,702.0,657.0,0.0,705.0,357.0,0.0,798.0,362.0,0.0,798.0,663.0,2.0,673.0,663.0,2.0,690.0,663.0,2.0,692.0,663.0,2.0,702.0,663.0,2.0,705.0,663.0,2.0,798.0,11.0,3.0,39.0,11.0,3.0,60.0,11.0,3.0,61.0,11.0,3.0,62.0,11.0,3.0,65.0,11.0,3.0,74.0,11.0,3.0,115.0,11.0,3.0,119.0,11.0,3.0,135.0,11.0,3.0,247.0,11.0,3.0,253.0,11.0,3.0,288.0,11.0,3.0,291.0,11.0,3.0,357.0,11.0,3.0,362.0,11.0,3.0,369.0,11.0,3.0,393.0,11.0,3.0,421.0,11.0,3.0,457.0,11.0,3.0,469.0,11.0,3.0,542.0,11.0,3.0,597.0,11.0,3.0,598.0,11.0,3.0,657.0,11.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,663,29.0,0.0,663.0,32.0,0.0,663.0,52.0,0.0,663.0,89.0,0.0,663.0,94.0,0.0,663.0,98.0,0.0,663.0,432.0,0.0,663.0,297.0,0.0,690.0,307.0,0.0,690.0,468.0,0.0,690.0,250.0,0.0,692.0,314.0,0.0,692.0,468.0,0.0,692.0,258.0,0.0,760.0,262.0,0.0,760.0,663.0,2.0,690.0,663.0,2.0,692.0,663.0,2.0,760.0,12.0,3.0,29.0,12.0,3.0,32.0,12.0,3.0,52.0,12.0,3.0,89.0,12.0,3.0,94.0,12.0,3.0,98.0,12.0,3.0,250.0,12.0,3.0,258.0,12.0,3.0,262.0,12.0,3.0,297.0,12.0,3.0,307.0,12.0,3.0,314.0,12.0,3.0,432.0,12.0,3.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,663,38.0,0.0,663.0,61.0,0.0,663.0,63.0,0.0,663.0,75.0,0.0,663.0,99.0,0.0,663.0,369.0,0.0,663.0,274.0,0.0,690.0,313.0,0.0,690.0,316.0,0.0,690.0,457.0,0.0,690.0,469.0,0.0,690.0,472.0,0.0,690.0,473.0,0.0,690.0,476.0,0.0,690.0,243.0,0.0,692.0,246.0,0.0,692.0,252.0,0.0,692.0,313.0,0.0,692.0,315.0,0.0,692.0,457.0,0.0,692.0,469.0,0.0,692.0,472.0,0.0,692.0,473.0,0.0,692.0,476.0,0.0,692.0,274.0,0.0,694.0,542.0,0.0,702.0,657.0,0.0,705.0,663.0,2.0,690.0,663.0,2.0,692.0,663.0,2.0,694.0,663.0,2.0,702.0,663.0,2.0,705.0,2.0,3.0,38.0,2.0,3.0,61.0,2.0,3.0,63.0,2.0,3.0,75.0,2.0,3.0,99.0,2.0,3.0,243.0,2.0,3.0,246.0,2.0,3.0,252.0,2.0,3.0,274.0,2.0,3.0,313.0,2.0,3.0,315.0,2.0,3.0,316.0,2.0,3.0,369.0,2.0,3.0,457.0,2.0,3.0,469.0,2.0,3.0,472.0,2.0,3.0,473.0,2.0,3.0,476.0,2.0,3.0,542.0,2.0,3.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
